UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 09:17 ?        00:00:09 /sbin/init
root           2       0  0 09:17 ?        00:00:00 [kthreadd]
root           3       2  0 09:17 ?        00:00:00 [rcu_gp]
root           4       2  0 09:17 ?        00:00:00 [rcu_par_gp]
root           6       2  0 09:17 ?        00:00:00 [kworker/0:0H-kblockd]
root           8       2  0 09:17 ?        00:00:00 [mm_percpu_wq]
root           9       2  0 09:17 ?        00:00:00 [ksoftirqd/0]
root          10       2  0 09:17 ?        00:00:13 [rcu_sched]
root          11       2  0 09:17 ?        00:00:00 [migration/0]
root          12       2  0 09:17 ?        00:00:00 [idle_inject/0]
root          14       2  0 09:17 ?        00:00:00 [cpuhp/0]
root          15       2  0 09:17 ?        00:00:00 [cpuhp/1]
root          16       2  0 09:17 ?        00:00:00 [idle_inject/1]
root          17       2  0 09:17 ?        00:00:01 [migration/1]
root          18       2  0 09:17 ?        00:00:01 [ksoftirqd/1]
root          20       2  0 09:17 ?        00:00:00 [kworker/1:0H-kblockd]
root          21       2  0 09:17 ?        00:00:00 [kdevtmpfs]
root          22       2  0 09:17 ?        00:00:00 [netns]
root          23       2  0 09:17 ?        00:00:00 [rcu_tasks_kthre]
root          24       2  0 09:17 ?        00:00:00 [kauditd]
root          25       2  0 09:17 ?        00:00:00 [khungtaskd]
root          26       2  0 09:17 ?        00:00:00 [oom_reaper]
root          27       2  0 09:17 ?        00:00:00 [writeback]
root          28       2  0 09:17 ?        00:00:00 [kcompactd0]
root          29       2  0 09:17 ?        00:00:00 [ksmd]
root          30       2  0 09:17 ?        00:00:00 [khugepaged]
root         123       2  0 09:17 ?        00:00:00 [kintegrityd]
root         124       2  0 09:17 ?        00:00:00 [kblockd]
root         125       2  0 09:17 ?        00:00:00 [blkcg_punt_bio]
root         126       2  0 09:17 ?        00:00:00 [tpm_dev_wq]
root         127       2  0 09:17 ?        00:00:00 [ata_sff]
root         128       2  0 09:17 ?        00:00:00 [md]
root         129       2  0 09:17 ?        00:00:00 [edac-poller]
root         130       2  0 09:17 ?        00:00:00 [devfreq_wq]
root         131       2  0 09:17 ?        00:00:00 [watchdogd]
root         135       2  0 09:17 ?        00:00:00 [kswapd0]
root         136       2  0 09:17 ?        00:00:00 [ecryptfs-kthrea]
root         139       2  0 09:17 ?        00:00:00 [kthrotld]
root         140       2  0 09:17 ?        00:00:00 [acpi_thermal_pm]
root         141       2  0 09:17 ?        00:00:00 [scsi_eh_0]
root         142       2  0 09:17 ?        00:00:00 [scsi_tmf_0]
root         143       2  0 09:17 ?        00:00:00 [scsi_eh_1]
root         144       2  0 09:17 ?        00:00:00 [scsi_tmf_1]
root         146       2  0 09:17 ?        00:00:00 [vfio-irqfd-clea]
root         148       2  0 09:17 ?        00:00:00 [ipv6_addrconf]
root         159       2  0 09:17 ?        00:00:00 [kstrp]
root         163       2  0 09:17 ?        00:00:00 [kworker/u5:0]
root         179       2  0 09:17 ?        00:00:00 [charger_manager]
root         180       2  0 09:17 ?        00:00:04 [kworker/1:1H-kblockd]
root         227       2  0 09:17 ?        00:00:00 [cryptd]
root         230       2  0 09:17 ?        00:00:06 [kworker/0:1H-kblockd]
root         233       2  0 09:17 ?        00:00:06 [irq/18-vmwgfx]
root         234       2  0 09:17 ?        00:00:00 [ttm_swap]
root         277       2  0 09:17 ?        00:00:01 [jbd2/sda5-8]
root         278       2  0 09:17 ?        00:00:00 [ext4-rsv-conver]
root         321       1  0 09:17 ?        00:00:03 /lib/systemd/systemd-journald
root         355       2  0 09:17 ?        00:00:00 [loop0]
root         360       2  0 09:17 ?        00:00:00 [loop1]
root         362       2  0 09:17 ?        00:00:00 [loop2]
root         365       2  0 09:17 ?        00:00:00 [loop3]
root         367       1  0 09:17 ?        00:00:04 /lib/systemd/systemd-udevd
root         368       2  0 09:17 ?        00:00:00 [loop4]
root         369       2  0 09:17 ?        00:00:00 [loop5]
root         370       2  0 09:17 ?        00:00:00 [loop6]
root         371       2  0 09:17 ?        00:00:00 [loop7]
root         373       2  0 09:17 ?        00:00:00 [loop9]
root         374       2  0 09:17 ?        00:00:00 [loop10]
systemd+     376       1  0 09:17 ?        00:00:02 /lib/systemd/systemd-networkd
root         398       2  0 09:17 ?        00:00:00 [iprt-VBoxWQueue]
systemd+     561       1  0 09:18 ?        00:00:05 /lib/systemd/systemd-resolved
